En,Zh,ImgBaseName,AudioBaseName
"FINE, THEN I'M BANISHED, TOO. COME ON, AANG, LET'S GO.",好！那我也一起被放逐,17723462211580.jpg,17723462211590783.mp3
"COME ON, AANG, LET'S GO. WHERE DO YOU THINK YOU'RE GOING?",走吧，安，我們走,17723462239080.jpg,17723462239090809.mp3
WHERE DO YOU THINK YOU'RE GOING?,妳以為妳要去哪裡？,17723462268250.jpg,1772346226827053.mp3
TO FIND A WATERBENDER. AANG IS TAKING ME TO THE NORTH POLE.,去找截水神通，安要帶我去北極,17723462317040.jpg,17723462317050930.mp3
"I AM? GREAT! KATARA, WOULD YOU REALLY CHOOSE HIM OVER YOUR TRIBE,",我要嗎？太棒了,17723462346630.jpg,17723462346650975.mp3
"KATARA, WOULD YOU REALLY CHOOSE HIM OVER YOUR TRIBE,",卡塔拉，妳寧願選他也不選部落？,17723462398320.jpg,17723462398330227.mp3
YOUR OWN FAMILY?,妳自己的家人？,17723462426230.jpg,1772346242624020.mp3
"KATARA, I DON'T WANT TO COME BETWEEN YOU AND YOUR FAMILY.",卡塔拉，我不想介入妳跟家人之間,17723462471720.jpg,17723462471730947.mp3
SO YOU'RE LEAVING THE SOUTH POLE?,所以你要離開南極了？,17723462505060.jpg,17723462505070688.mp3
THIS IS GOOD-BYE?,這就是道別了？,17723462528810.jpg,17723462528820569.mp3
THANKS FOR PENGUIN SLEDDING WITH ME. WHERE WILL YOU GO?,謝謝妳跟我一起滑企鵝,17723462562180.jpg,17723462562200981.mp3
WHERE WILL YOU GO? GUESS I'LL GO BACK HOME AND LOOK FOR THE AIRBENDERS.,你要去哪？,17723462586800.jpg,17723462586810338.mp3
GUESS I'LL GO BACK HOME AND LOOK FOR THE AIRBENDERS.,大概會回家，找尋其他截氣神通,17723462625990.jpg,17723462626000291.mp3
WOW. I HAVEN'T CLEANED MY ROOM IN 100 YEARS. NOT LOOKING FORWARD TO THAT.,哇，我一百年沒整理房間了,17723462675190.jpg,17723462675210254.mp3
NOT LOOKING FORWARD TO THAT.,還真不期待,17723462703090.jpg,17723462703110974.mp3
"IT WAS NICE MEETING EVERYONE. LET'S SEE YOUR BISON FLY NOW, AIRBOY.",很高興能跟你們認識,17723462730600.jpg,17723462730610530.mp3
"LET'S SEE YOUR BISON FLY NOW, AIRBOY.",讓我們見識你的蠻牛起飛，和氣男孩,17723462770650.jpg,17723462770660896.mp3
"COME ON, APPA, YOU CAN DO IT.",上吧，阿霸，你可以的,17723462799010.jpg,17723462799020958.mp3
YIP YIP!,飛飛！,17723462823640.jpg,17723462823640668.mp3
"YEAH, I THOUGHT SO! [CRYING]",果然，如我所料,17723462859430.jpg,17723462859440443.mp3
"AANG, DON'T GO. I'LL MISS YOU.",安，別走，我會想你的,17723462896150.jpg,1772346289617082.mp3
